,rating
35783,1
39773,0
51074,0
7233,1
6868,0
46159,0
15310,1
49440,0
14329,0
7570,1
5832,1
38948,0
5991,1
7504,0
16367,1
51262,1
29588,0
24017,1
3238,0
42627,0
28445,1
8583,1
2952,1
9794,0
4156,1
131,0
1625,1
21388,0
37426,0
7816,0
4020,1
52291,1
16836,1
18518,0
2059,1
1898,1
9074,0
8547,0
25820,1
12698,1
49468,0
14766,1
51030,0
11503,0
16457,0
41237,0
22671,1
51535,0
23847,0
46097,0
5873,1
10263,1
17927,1
46916,1
5889,1
48507,1
4403,0
17757,1
30599,0
36016,0
32115,0
25138,1
8699,0
44787,1
5232,1
2508,0
50061,1
48273,0
43021,0
11438,0
8506,1
49372,0
2300,1
41330,1
28348,1
21413,1
1583,0
29277,1
16946,1
22523,0
50909,0
48334,1
24483,1
45521,1
11800,0
25232,1
22722,1
46496,1
49896,0
16830,1
2661,0
52292,0
37173,0
49373,0
5651,1
32785,0
12582,1
17457,1
585,0
22496,1
15418,1
25796,0
24331,1
30437,0
27959,0
28213,1
1430,1
4032,1
27127,0
3142,1
50451,0
22553,1
31481,1
28762,0
37275,0
41174,0
49047,0
4121,1
5022,1
30191,0
46597,0
33714,1
4370,1
29178,0
39043,0
13146,1
12798,1
553,0
46331,0
6709,0
34205,0
4098,1
35157,1
16336,0
10935,0
37787,0
37095,0
1741,1
51384,0
12144,1
39353,0
38443,0
51403,0
41885,0
14067,0
10971,1
2114,1
10374,1
10345,0
1590,0
29183,1
12722,0
23799,0
48466,0
47148,0
30462,1
40546,0
15582,1
13154,1
35921,1
13331,0
50685,1
50693,0
10937,1
231,1
14113,1
14690,0
32198,1
18520,0
12802,1
360,1
17144,1
87,1
43896,1
41129,0
11048,1
49163,1
40383,0
41277,1
45377,0
8416,1
35261,1
38255,0
9773,1
50029,1
3617,1
29158,0
39537,1
7142,0
43771,0
23028,1
28638,0
43775,1
37829,0
11319,0
28814,0
16857,0
2840,0
7290,1
10388,0
2927,1
17359,1
864,1
49741,1
37055,1
7123,0
23212,0
15797,0
46171,0
19947,1
51549,1
26575,1
30882,0
45532,0
24538,0
46771,1
44229,1
13923,0
1493,1
44946,1
5256,1
33298,0
44751,1
12826,0
41370,1
39628,0
42114,0
2909,1
25517,1
12697,1
50954,0
43724,1
1126,0
37213,1
197,0
24246,0
16774,1
4619,1
48022,1
42277,1
40413,0
44400,1
43582,0
36458,0
32584,0
8203,1
16671,1
7853,0
15594,0
45523,0
9259,1
16986,0
39539,0
34112,0
15815,1
14354,1
43471,0
42793,0
49432,0
37583,0
49438,0
38162,0
3461,1
8360,0
38996,0
47011,1
4653,0
24659,1
41831,0
578,1
24037,1
15593,1
31491,1
17761,0
32028,0
31907,1
12915,1
15590,1
36163,0
47175,0
44574,0
49625,1
22597,0
50554,1
34834,1
44542,1
23417,1
32365,1
42895,1
19940,1
37886,0
6557,0
29199,1
13130,1
3110,0
39525,0
31291,0
49198,0
51899,1
33250,0
34780,1
1073,1
25791,0
36336,0
47979,1
31870,0
32490,0
30439,0
15479,1
38146,0
50206,0
26245,1
45981,0
41080,0
8240,1
25265,1
29804,1
42676,0
32529,0
3352,1
5045,0
50005,0
31429,1
50217,1
12948,1
4576,1
14864,1
43833,0
22203,1
34717,0
51035,1
44377,0
5379,1
19755,0
21048,0
5536,1
25979,0
11981,1
12077,0
46763,0
25546,0
17770,1
32064,1
410,0
23678,1
18173,0
40506,0
14334,0
38908,0
37475,1
33581,0
40971,1
19425,1
25971,0
29400,0
26375,0
25942,0
44003,0
26013,1
33221,0
9983,0
12591,1
26330,1
15587,1
10856,0
29410,0
10881,1
1820,0
9131,1
27696,0
22355,1
49242,0
28569,0
21486,1
49362,0
4489,0
42270,0
16840,0
51269,0
23465,1
41485,0
22092,0
26260,0
33968,0
39179,1
37438,0
48002,0
24893,1
6918,1
47914,1
28307,0
